"State","Municipality","Name Id","Place Name","Place Name Status","Feature Type","Longitude","Latitude","Place Id"
"VIC","EAST GIPPSLAND SHIRE","100532","BUCHAN","REGISTERED","LOCB","148.1658211","-37.4235137","100518"
"VIC","EAST GIPPSLAND SHIRE","100533","BUCHAN SOUTH","REGISTERED","LOCB","148.0974601","-37.5625307","100519"
"VIC","ALPINE SHIRE","100534","BUCKLAND","REGISTERED","LOCB","146.8870496","-36.8563395","100520"
"VIC","SURF COAST SHIRE","100535","BUCKLEY","REGISTERED","LOCB","144.0915985","-38.218889","100521"
"VIC","SOUTHERN GRAMPIANS SHIRE","100536","BUCKLEY SWAMP","REGISTERED","LOCB","142.0885695","-37.8565134","100522"
"VIC","BULOKE SHIRE","100537","BUCKRABANYULE","REGISTERED","LOCB","143.5035172","-36.2292568","100523"
"VIC","LODDON SHIRE","100538","BUCKRABANYULE","REGISTERED","LOCB","143.5364049","-36.2954255","100524"
"VIC","WELLINGTON SHIRE","100539","BUDGEE BUDGEE","REGISTERED","LOCB","147.0885356","-37.5491762","100525"
"VIC","LATROBE CITY","100540","BUDGEREE","REGISTERED","LOCB","146.3652584","-38.4193985","100526"
"VIC","GANNAWARRA SHIRE","100541","BUDGERUM EAST","REGISTERED","LOCB","143.6526155","-35.7711662","100527"
"VIC","SOUTH GIPPSLAND SHIRE","100542","BUFFALO","REGISTERED","LOCB","146.012687","-38.6656871","100528"
"VIC","ALPINE SHIRE","100543","BUFFALO RIVER","REGISTERED","LOCB","146.6482689","-36.6550094","100529"
"VIC","SOUTHERN GRAMPIANS SHIRE","100544","BULART","REGISTERED","LOCB","141.9111734","-37.5845175","100530"
"VIC","EAST GIPPSLAND SHIRE","100545","BULDAH","REGISTERED","LOCB","149.1243244","-37.2384009","100531"
